date_publication;date_dernier_modif;url;prix;ville;marque;model;date_1st_circu;kilometrage;cc
2025-07-19 11:27:53;2025-07-19 11:27:53;https://www.leboncoin.fr/ad/motos/3025442102;14700;Pau 64000;Honda;CBR;2019;9800;
2025-07-19 07:10:51;2025-07-19 07:10:51;https://www.leboncoin.fr/ad/motos/3025331089;3700;Saint-Hilaire-Saint-Mesmin 45160;Honda;CBR;2006;21000;600
2025-07-18 17:53:29;2025-07-18 17:53:29;https://www.leboncoin.fr/ad/motos/3025161404;4290;Orléans 45000;Honda;CBR;2003;53000;600
2025-07-18 06:32:29;2025-07-18 06:32:29;https://www.leboncoin.fr/ad/motos/3024859575;18990;Vigneux-sur-Seine 91270;Honda;CBR;2024;3500;600
2025-07-17 18:37:00;2025-07-17 18:37:00;https://www.leboncoin.fr/ad/motos/3024709586;6500;Bonneville 74130;Honda;CBR;2008;39230;600
2025-07-17 17:32:36;2025-07-17 17:32:36;https://www.leboncoin.fr/ad/motos/3024672307;2900;Saint-Just-d'Ardèche 07700;Honda;CB Hornet;2000;99;600
2025-07-17 00:04:07;2025-07-17 00:04:07;https://www.leboncoin.fr/ad/motos/2991528192;3990;Orcines 63870;Honda;CBR;2007;52000;
2025-07-16 17:54:43;2025-07-16 17:54:43;https://www.leboncoin.fr/ad/motos/3024190123;5600;Pons 17800;Honda;XL Varadero;2007;100000;
2025-07-16 15:27:23;2025-07-16 15:27:23;https://www.leboncoin.fr/ad/motos/3024099963;5700;Mauléon 79700 Le Temple;Honda;CBR;2008;25232;600
2025-07-15 14:09:41;2025-07-15 14:09:41;https://www.leboncoin.fr/ad/motos/3023537433;7400;Lesneven 29260;Honda;CBR;2011;25700;600
2025-07-15 12:28:58;2025-07-15 12:28:58;https://www.leboncoin.fr/ad/motos/3023488888;4200;Orthez 64300;Honda;CBR;2004;21836;600
2025-07-14 19:05:07;2025-07-14 19:05:07;https://www.leboncoin.fr/ad/motos/3023215731;6100;Toulouse 31000;Honda;CBR;2007;29000;600
2025-07-14 14:22:52;2025-07-14 14:22:52;https://www.leboncoin.fr/ad/motos/3022996496;5500;Château-Thierry 02400;Honda;CBR;2007;34230;600
2025-07-12 18:47:30;2025-07-12 18:47:30;https://www.leboncoin.fr/ad/motos/3022155719;4500;La Harengère 27370;Honda;CBR;2003;54857;600
2025-07-12 14:40:54;2025-07-12 14:40:54;https://www.leboncoin.fr/ad/motos/3022009989;5900;Épinal 88000;Honda;CBR;2004;18000;600
2025-07-11 13:11:19;2025-07-11 13:11:19;https://www.leboncoin.fr/ad/motos/3021485679;6500;Pau 64000;Honda;CBR;2009;37000;600
2025-07-09 19:12:19;2025-07-09 19:12:19;https://www.leboncoin.fr/ad/motos/3020729322;9500;Meaux 77100;Honda;CBR;2015;16438;600
2025-07-09 05:09:49;2025-07-09 05:09:49;https://www.leboncoin.fr/ad/motos/3019957344;5900;Lure 70200;Honda;CBR;2009;9000;600
2025-07-07 17:06:48;2025-07-07 17:06:48;https://www.leboncoin.fr/ad/motos/3019216767;5200;Cintray 28300;Honda;CBR;2005;5000;600
2025-07-05 09:29:46;2025-07-05 09:29:46;https://www.leboncoin.fr/ad/motos/2837401956;4900;Gillonnay 38260;Honda;CBR;2006;49400;600
2025-07-04 21:28:24;2025-07-04 21:28:24;https://www.leboncoin.fr/ad/motos/2984645261;7800;Conflans-Sainte-Honorine 78700;Honda;CBR;2012;34000;600
2025-07-04 21:22:27;2025-07-04 21:22:27;https://www.leboncoin.fr/ad/motos/3017731495;6000;Luynes 37230;Honda;CBR;2009;43500;600
2025-07-03 22:52:25;2025-07-03 22:52:25;https://www.leboncoin.fr/ad/motos/3017305826;6500;Saint-Malo 35400;Honda;CBR;2008;20018;600
2025-07-03 09:46:42;2025-07-03 09:46:42;https://www.leboncoin.fr/ad/motos/3016929904;4200;Segré-en-Anjou Bleu 49500;Honda;CBR;2008;38300;600
2025-07-02 20:06:34;2025-07-02 20:06:34;https://www.leboncoin.fr/ad/motos/3016772382;5500;Les Pennes-Mirabeau 13170;Honda;CBR;2007;47000;600
2025-07-02 10:24:18;2025-07-02 10:24:18;https://www.leboncoin.fr/ad/motos/3016462388;3800;Ginasservis 83560;Honda;CBR;2004;61950;600
2025-06-29 20:36:23;2025-06-29 20:36:23;https://www.leboncoin.fr/ad/motos/3015346597;4700;Clermont 60600;Honda;CBR;2003;35756;600
2025-06-29 19:00:03;2025-06-29 19:00:03;https://www.leboncoin.fr/ad/motos/3015295457;5500;Trélivan 22100;Honda;CBR;2008;25333;600
2025-06-28 22:28:51;2025-06-28 22:28:51;https://www.leboncoin.fr/ad/motos/3014863663;8500;Brignoles 83170;Honda;CBR;2016;12500;600
2025-06-28 21:09:03;2025-06-28 21:09:03;https://www.leboncoin.fr/ad/motos/3014841661;5400;Bordeaux 33000;Honda;CBR;2008;2400;600
2025-06-27 18:53:16;2025-06-27 18:53:16;https://www.leboncoin.fr/ad/motos/3014298178;5700;Saint-Pierre-d'Oléron 17310;Honda;CBR;2004;43985;600
2025-06-26 08:12:01;2025-06-26 08:12:01;https://www.leboncoin.fr/ad/motos/2979185941;8000;Morbier 39400;Honda;CBR;2012;3650;600
2025-06-23 22:20:10;2025-06-23 22:20:10;https://www.leboncoin.fr/ad/motos/3012433029;6500;Carnac 56340;Honda;CBR;2007;35000;600
2025-06-14 12:43:21;2025-07-16 08:24:41;https://www.leboncoin.fr/ad/motos/3007174476;5600;Lyon 69009 9e Arrondissement;Honda;CBR;2005;48564;600
2025-06-10 20:45:44;2025-07-03 05:47:00;https://www.leboncoin.fr/ad/motos/3005211759;8490;Sury-le-Comtal 42450;Honda;CBR;2016;19000;1000
