date_publication;date_dernier_modif;url;prix;ville;marque;model;date_1st_circu;kilometrage;cc
2025-07-19 13:28:23;2025-07-19 13:28:23;https://www.leboncoin.fr/ad/motos/3025517478;9500;Argiésans 90800;Kawasaki;ZXR;2024;1961;636
2025-07-19 08:35:38;2025-07-19 08:35:38;https://www.leboncoin.fr/ad/motos/3025351623;8500;Nîmes 30000;Kawasaki;Ninja ZX;2010;27000;600
2025-07-18 23:41:26;2025-07-18 23:41:26;https://www.leboncoin.fr/ad/motos/3025296796;5400;Cambrai 59400;Kawasaki;ZXR;2000;40000;600
2025-07-18 21:24:53;2025-07-18 21:24:53;https://www.leboncoin.fr/ad/motos/3025260161;1300;Brignoles 83170;Kawasaki;Ninja ZX;1998;25000;600
2025-07-18 17:42:42;2025-07-18 17:42:42;https://www.leboncoin.fr/ad/motos/3025155118;9700;Hautmont 59330;Kawasaki;Ninja ZX;2020;10250;636
2025-07-18 00:23:51;2025-07-18 00:23:51;https://www.leboncoin.fr/ad/motos/3024836963;2300;Montfaucon 02540;Kawasaki;Ninja ZX;1997;111111;600
2025-07-17 23:27:04;2025-07-17 23:27:04;https://www.leboncoin.fr/ad/motos/3024828283;4800;Saint-Sigismond 45310;Kawasaki;ZXR;2005;30000;636
2025-07-17 23:12:23;2025-07-17 23:12:23;https://www.leboncoin.fr/ad/motos/3024825149;5800;Souvigné-sur-Sarthe 72300;Kawasaki;Ninja ZX;2009;40000;600
2025-07-17 18:06:51;2025-07-17 18:06:51;https://www.leboncoin.fr/ad/motos/3024692350;3600;Herbignac 44410;Kawasaki;ZXR;2006;34188;636
2025-07-17 15:56:17;2025-07-17 15:56:17;https://www.leboncoin.fr/ad/motos/3024618125;2800;La Fouillouse 42480;Kawasaki;ZXR;1998;50000;600
2025-07-17 14:36:29;2025-07-17 14:36:29;https://www.leboncoin.fr/ad/motos/3024573624;4990;Chaville 92370;Kawasaki;Ninja ZX;2009;24973;600
2025-07-17 13:57:43;2025-07-17 13:57:43;https://www.leboncoin.fr/ad/motos/3024552492;10800;Toulouse 31200;Kawasaki;Ninja ZX;2024;5390;636
2025-07-17 13:01:07;2025-07-17 13:01:07;https://www.leboncoin.fr/ad/motos/3024525742;11490;Angers 49100;Kawasaki;Ninja ZX;2025;2400;636
2025-07-17 06:40:37;2025-07-17 06:40:37;https://www.leboncoin.fr/ad/motos/3024380339;3000;Perriers-sur-Andelle 27910;Kawasaki;ZXR;2002;20623;
2025-07-17 06:13:24;2025-07-17 06:13:24;https://www.leboncoin.fr/ad/motos/3024377779;4800;Tarnos 40220;Kawasaki;Ninja ZX;2009;34126;600
2025-07-17 00:34:06;2025-07-17 00:34:06;https://www.leboncoin.fr/ad/motos/3024358615;2500;Albertville 73200;Kawasaki;ZXR;1999;54380;600
2025-07-16 15:03:29;2025-07-16 15:03:29;https://www.leboncoin.fr/ad/motos/3024086175;4700;Le Bar-sur-Loup 06620;Kawasaki;ZXR;2010;48550;600
2025-07-16 11:51:05;2025-07-16 11:51:05;https://www.leboncoin.fr/ad/motos/3023981914;1200;Meslay-du-Maine 53170;Kawasaki;Ninja ZX;2005;30000;
