date_publication;date_dernier_modif;url;prix;ville;marque;model;date_1st_circu;kilometrage;cc
2025-07-19 13:47:35;2025-07-19 13:47:35;https://www.leboncoin.fr/ad/motos/3025529362;6000;Montélimar 26200;Suzuki;GSX-R;2002;39000;
2025-07-19 13:04:22;2025-07-19 13:04:22;https://www.leboncoin.fr/ad/motos/3025504857;5000;Saint-Parres-aux-Tertres 10410;Suzuki;GSX-R;2001;36000;1000
2025-07-19 12:20:17;2025-07-19 12:20:17;https://www.leboncoin.fr/ad/motos/3025478255;4000;Cerisy-la-Forêt 50680;Suzuki;GSX-R;1998;1;600
2025-07-19 11:45:06;2025-07-19 11:45:06;https://www.leboncoin.fr/ad/motos/3025454136;2300;La Mure 38350;Suzuki;GSX-R;2001;44000;750
2025-07-19 11:44:41;2025-07-19 11:44:41;https://www.leboncoin.fr/ad/motos/3025453987;1200;Saint-Julien-en-Genevois 74160;Suzuki;GSX-R;1998;48000;600
2025-07-19 11:08:15;2025-07-19 11:08:15;https://www.leboncoin.fr/ad/motos/3025428416;9700;Avord 18520;Suzuki;GSX-R;2010;23000;750
2025-07-19 10:59:52;2025-07-19 10:59:52;https://www.leboncoin.fr/ad/motos/3025422835;8000;Vallières-sur-Fier 74150;Suzuki;GSX-R;2007;57500;750
2025-07-19 10:53:37;2025-07-19 10:53:37;https://www.leboncoin.fr/ad/motos/3025418942;3200;Lambres-lez-Douai 59552;Suzuki;SV;2003;41261;650
2025-07-19 01:08:20;2025-07-19 01:08:20;https://www.leboncoin.fr/ad/motos/3025306739;6000;Vair-sur-Loire 44150 Saint-Herblon;Suzuki;GSX-R;2006;68130;750
2025-07-18 22:25:02;2025-07-18 22:25:02;https://www.leboncoin.fr/ad/motos/3025279642;5900;Oullins-Pierre-Bénite 69600 Oullins;Suzuki;GSX-R;2006;40500;600
2025-07-18 22:03:55;2025-07-18 22:03:55;https://www.leboncoin.fr/ad/motos/3025273390;5600;Legé 44650;Suzuki;GSX-R;2009;48000;600
2025-07-18 19:33:56;2025-07-18 19:33:56;https://www.leboncoin.fr/ad/motos/3025217192;3400;Meyzieu 69330;Suzuki;SV;2003;4905;650
2025-07-18 17:50:28;2025-07-18 17:50:28;https://www.leboncoin.fr/ad/motos/3025159634;8000;Saint-André-de-Cubzac 33240;Suzuki;GSX-R;2008;42000;1000
2025-07-18 17:27:31;2025-07-18 17:27:31;https://www.leboncoin.fr/ad/motos/3025146391;7200;Ry 76116;Suzuki;GSX-R;2008;25000;750
2025-07-18 17:19:40;2025-07-18 17:19:40;https://www.leboncoin.fr/ad/motos/3025142097;3700;Saint-Pathus 77178;Suzuki;GSX-R;2002;45000;750
2025-07-18 15:42:26;2025-07-18 15:42:26;https://www.leboncoin.fr/ad/motos/2992680664;2800;Cerizay 79140;Suzuki;SV;2004;44000;
2025-07-18 15:36:27;2025-07-18 15:36:27;https://www.leboncoin.fr/ad/motos/3025084408;450;Saint-Vincent-sur-Graon 85540;Suzuki;GSX-R;2006;50;1000
2025-07-18 13:09:37;2025-07-18 13:09:37;https://www.leboncoin.fr/ad/motos/3025009490;7000;Chamouilley 52410;Suzuki;GSX-R;2007;34591;1000
2025-07-18 11:51:58;2025-07-18 11:51:58;https://www.leboncoin.fr/ad/motos/3024973521;4200;Manot 16500;Suzuki;GSX-R;2001;3000;1000
2025-07-18 11:17:48;2025-07-18 11:17:48;https://www.leboncoin.fr/ad/motos/3024955385;1600;Ollioules 83190;Suzuki;GSX-R;1998;70000;
2025-07-18 02:22:45;2025-07-18 02:22:45;https://www.leboncoin.fr/ad/motos/2990491950;8500;Le Plessis-Robinson 92350;Suzuki;GSX-R;2008;43000;750
2025-07-17 22:15:21;2025-07-17 22:15:21;https://www.leboncoin.fr/ad/motos/3024808980;4200;Montévrain 77144;Suzuki;GSX-R;2004;54050;600
2025-07-17 21:30:35;2025-07-17 21:30:35;https://www.leboncoin.fr/ad/motos/3024791647;3600;Saint-André-les-Vergers 10120;Suzuki;GSX-R;2007;66000;750
2025-07-17 21:26:49;2025-07-17 21:26:49;https://www.leboncoin.fr/ad/motos/3024790100;8700;Chaumont 89340;Suzuki;GSX-R;2014;37040;750
2025-07-17 20:59:31;2025-07-17 20:59:31;https://www.leboncoin.fr/ad/motos/3024778808;8500;Brive-la-Gaillarde 19100;Suzuki;GSX-R;2011;40500;1000
2025-07-17 20:54:20;2025-07-17 20:54:20;https://www.leboncoin.fr/ad/motos/3024776499;5500;Coulommiers 77120;Suzuki;GSX-R;2008;53000;
2025-07-17 20:43:03;2025-07-17 20:43:03;https://www.leboncoin.fr/ad/motos/3024772250;6000;Bois-de-Champ 88600;Suzuki;GSX-R;2007;37000;1000
2025-07-17 15:56:45;2025-07-17 15:56:45;https://www.leboncoin.fr/ad/motos/3024618300;6500;Sommedieue 55320;Suzuki;GSX-R;2008;44000;600
2025-07-17 15:37:12;2025-07-17 15:37:12;https://www.leboncoin.fr/ad/motos/3024606896;2600;Rosporden 29140;Suzuki;SV;1999;43314;650
