date_publication;date_dernier_modif;url;prix;ville;marque;model;date_1st_circu;kilometrage;cc
2025-07-19 10:55:00;2025-07-19 10:55:00;https://www.leboncoin.fr/ad/motos/3025419874;4600;Forcalqueiret 83136;Yamaha;FZ;2007;35000;1000
2025-07-19 04:16:06;2025-07-19 04:16:06;https://www.leboncoin.fr/ad/motos/2982108318;4200;Champagney 70290;Yamaha;YZF;2002;23300;600
2025-07-18 19:07:09;2025-07-18 19:07:09;https://www.leboncoin.fr/ad/motos/2990038399;2700;La Tessoualle 49280;Yamaha;YZF-R;2004;66453;600
2025-07-18 11:49:31;2025-07-18 11:49:31;https://www.leboncoin.fr/ad/motos/3024972158;13000;Lyon 69007 7e Arrondissement;Yamaha;YZF;2017;26000;600
2025-07-18 07:37:14;2025-07-18 07:37:14;https://www.leboncoin.fr/ad/motos/3024869373;14000;Rodez 12000;Yamaha;YZF-R;2019;8800;600
2025-07-17 23:54:34;2025-07-17 23:54:34;https://www.leboncoin.fr/ad/motos/3024833026;15900;Toulouse 31000;Yamaha;YZF-R;2019;300;600
2025-07-17 23:05:12;2025-07-17 23:05:12;https://www.leboncoin.fr/ad/motos/3024823457;6200;Nogent-le-Rotrou 28400;Yamaha;YZF-R;2008;26000;600
2025-07-17 20:36:41;2025-07-17 20:36:41;https://www.leboncoin.fr/ad/motos/3024769767;3500;Sury-le-Comtal 42450;Yamaha;YZF-R;2003;46000;600
2025-07-17 20:33:25;2025-07-17 20:33:25;https://www.leboncoin.fr/ad/motos/3024768506;7500;Paray-le-Monial 71600;Yamaha;YZF-R;2006;1000;
2025-07-17 15:27:33;2025-07-17 15:27:33;https://www.leboncoin.fr/ad/motos/3024601987;36000;Charleville-Mézières 08000;Yamaha;YZF-R;2024;1200;1000
2025-07-17 15:14:51;2025-07-17 15:14:51;https://www.leboncoin.fr/ad/motos/3024594525;3950;Salagnon 38890;Yamaha;YZF-R;2005;54000;600
2025-07-17 13:57:43;2025-07-17 13:57:43;https://www.leboncoin.fr/ad/motos/3024552726;5499;Mérignac 33700;Yamaha;YZF-R;2009;22500;600
2025-07-17 10:37:53;2025-07-17 10:37:53;https://www.leboncoin.fr/ad/motos/2955601011;2990;Fabrègues 34690;Yamaha;YZF-R;2004;1;600
2025-07-17 08:57:53;2025-07-17 08:57:53;https://www.leboncoin.fr/ad/motos/3024411139;5700;Landerneau 29800;Yamaha;YZF-R;2006;17000;600
2025-07-17 06:00:25;2025-07-17 06:00:25;https://www.leboncoin.fr/ad/motos/2991648035;8000;Périgueux 24000;Yamaha;YZF;2009;21000;600
2025-07-16 22:13:13;2025-07-16 22:13:13;https://www.leboncoin.fr/ad/motos/3024325845;9000;Châteauponsac 87290;Yamaha;YZF-R;2009;15100;600
2025-07-16 21:50:39;2025-07-16 21:50:39;https://www.leboncoin.fr/ad/motos/3024316735;10000;La Clayette 71800;Yamaha;YZF-R;2014;10300;600
2025-07-16 16:04:20;2025-07-16 16:04:20;https://www.leboncoin.fr/ad/motos/3024122323;13990;Remiremont 88200;Yamaha;YZF-R;2017;9500;600
2025-07-16 15:28:01;2025-07-16 15:28:01;https://www.leboncoin.fr/ad/motos/3024100377;21990;Laval 53000;Yamaha;YZF-R;2024;3000;1000
2025-07-16 15:14:43;2025-07-16 15:14:43;https://www.leboncoin.fr/ad/motos/3024092795;4700;Erdre-en-Anjou 49220;Yamaha;YZF-R;2005;17703;600
2025-07-16 11:55:40;2025-07-16 11:55:40;https://www.leboncoin.fr/ad/motos/3023984530;18000;Ille-sur-Têt 66130;Yamaha;YZF-R;2020;250;600
2025-07-16 11:11:03;2025-07-16 11:11:03;https://www.leboncoin.fr/ad/motos/3023958415;2500;Bourg-en-Bresse 01000;Yamaha;Autres;2000;44000;600
2025-07-16 10:27:15;2025-07-16 10:27:15;https://www.leboncoin.fr/ad/motos/3023934076;4800;Grenoble 38000;Yamaha;YZF-R;2008;39000;600
2025-07-16 00:41:03;2025-07-16 00:41:03;https://www.leboncoin.fr/ad/motos/3023840745;10000;Voiron 38500;Yamaha;YZF-R;2015;10000;
2025-07-15 21:21:50;2025-07-15 21:21:50;https://www.leboncoin.fr/ad/motos/3023784347;8800;Vaïssac 82800;Yamaha;YZF-R;2006;17730;600
2025-07-15 20:43:31;2025-07-15 20:43:31;https://www.leboncoin.fr/ad/motos/2952194711;11000;Bourg-en-Bresse 01000;Yamaha;YZF-R;2015;12000;1000
2025-07-15 20:35:32;2025-07-15 20:35:32;https://www.leboncoin.fr/ad/motos/3023761906;11500;Velaux 13880;Yamaha;YZF;2018;45000;600
2025-07-15 20:13:47;2025-07-15 20:13:47;https://www.leboncoin.fr/ad/motos/3023751063;10900;Soucieu-en-Jarrest 69510;Yamaha;YZF-R;2020;2500;600
2025-07-15 17:51:40;2025-07-15 17:51:40;https://www.leboncoin.fr/ad/motos/3023667231;3000;Montceau-les-Mines 71300;Yamaha;YZF;1999;60000;600
2025-07-15 17:49:11;2025-07-15 17:49:11;https://www.leboncoin.fr/ad/motos/3023665779;2000;Perpignan 66000;Yamaha;YZF-R;1999;100000;600
2025-07-15 16:10:12;2025-07-15 16:10:12;https://www.leboncoin.fr/ad/motos/3023606755;18500;Pontarlier 25300;Yamaha;YZF-R;2024;5500;
2025-07-15 13:57:33;2025-07-15 13:57:33;https://www.leboncoin.fr/ad/motos/3023531345;6600;Fontenay-le-Comte 85200;Yamaha;YZF;2008;23672;600
2025-07-04 21:17:57;2025-07-18 21:17:58;https://www.leboncoin.fr/ad/motos/2983609219;2300;Mesnils-sur-Iton 27240;Yamaha;YZF;2000;20000;
2025-06-30 20:35:48;2025-07-18 11:16:52;https://www.leboncoin.fr/ad/motos/3015821819;11900;Châtillon-en-Diois 26410;Yamaha;YZF-R;2018;31600;600
2025-06-06 12:09:16;2025-07-18 12:09:16;https://www.leboncoin.fr/ad/motos/3002647270;3000;Melleroy 45220;Yamaha;Autres;1999;10;600
